SD,SGG,Last Name,Population
서울특별시,중구,계(桂),12
서울특별시,중구,고(高),1180
서울특별시,중구,공(孔),201
서울특별시,중구,곽(郭),484
서울특별시,중구,구(丘),36
서울특별시,중구,구(具),446
서울특별시,중구,국(鞠),46
서울특별시,중구,권(權),1416
서울특별시,중구,금(琴),53
서울특별시,중구,기(奇),75
서울특별시,중구,기타,637
서울특별시,중구,길(吉),93
서울특별시,중구,김(金),25039
서울특별시,중구,나(羅),394
서울특별시,중구,남(南),614
서울특별시,중구,남궁(南宮),76
서울특별시,중구,노(盧),615
서울특별시,중구,노(魯),158
서울특별시,중구,단(段),7
서울특별시,중구,당(唐),0
서울특별시,중구,도(都),147
서울특별시,중구,도(陶),0
서울특별시,중구,동(董),12
서울특별시,중구,두(杜),18
서울특별시,중구,라(羅),71
서울특별시,중구,류(柳),364
서울특별시,중구,마(馬),117
서울특별시,중구,맹(孟),53
서울특별시,중구,명(明),97
서울특별시,중구,모(牟),55
서울특별시,중구,목(睦),22
서울특별시,중구,문(文),1212
서울특별시,중구,민(閔),446
서울특별시,중구,박(朴),9601
서울특별시,중구,반(潘),53
서울특별시,중구,방(房),89
서울특별시,중구,방(方),262
서울특별시,중구,배(裵),820
서울특별시,중구,백(白),918
서울특별시,중구,범(范),10
서울특별시,중구,변(卞),140
서울특별시,중구,변(邊),169
서울특별시,중구,복(卜),21
서울특별시,중구,봉(奉),31
서울특별시,중구,부(夫),29
서울특별시,중구,빈(賓),8
서울특별시,중구,사(史),28
서울특별시,중구,사공(司空),17
서울특별시,중구,상(尙),14
서울특별시,중구,서(徐),1650
서울특별시,중구,서문(西門),6
서울특별시,중구,석(昔),23
서울특별시,중구,석(石),90
서울특별시,중구,선(宣),97
서울특별시,중구,선우(鮮于),8
서울특별시,중구,설(?),5
서울특별시,중구,설(薛),108
서울특별시,중구,성(成),490
서울특별시,중구,소(蘇),149
서울특별시,중구,소(邵),0
서울특별시,중구,손(孫),991
서울특별시,중구,송(宋),1712
서울특별시,중구,승(承),6
서울특별시,중구,시(施),0
서울특별시,중구,시(柴),12
서울특별시,중구,신(愼),130
서울특별시,중구,신(申),1768
서울특별시,중구,신(辛),380
서울특별시,중구,심(沈),642
서울특별시,중구,안(安),1701
서울특별시,중구,양(梁),1262
서울특별시,중구,양(楊),156
서울특별시,중구,어(魚),63
서울특별시,중구,엄(嚴),301
서울특별시,중구,여(余),20
서울특별시,중구,여(呂),120
서울특별시,중구,연(延),103
서울특별시,중구,염(廉),185
서울특별시,중구,예(芮),32
서울특별시,중구,오(吳),2021
서울특별시,중구,옥(玉),41
서울특별시,중구,온(溫),21
서울특별시,중구,왕(王),52
서울특별시,중구,용(龍),39
서울특별시,중구,우(禹),411
서울특별시,중구,원(元),331
서울특별시,중구,위(魏),101
서울특별시,중구,유(兪),401
서울특별시,중구,유(劉),736
서울특별시,중구,유(庾),32
서울특별시,중구,유(柳),1250
서울특별시,중구,육(陸),36
서울특별시,중구,윤(尹),2452
서울특별시,중구,은(殷),40
서울특별시,중구,음(陰),15
서울특별시,중구,이(李),17603
서울특별시,중구,인(印),59
서울특별시,중구,임(任),508
서울특별시,중구,임(林),1970
서울특별시,중구,장(張),2308
서울특별시,중구,장(章),17
서울특별시,중구,장(蔣),60
서울특별시,중구,전(全),1309
서울특별시,중구,전(田),480
서울특별시,중구,전(錢),9
서울특별시,중구,정(丁),618
서울특별시,중구,정(程),18
